new_variables_card_id,image_uri
200,https://img.scryfall.com/cards/large/en/lea/287.jpg?1525123708
201,https://img.scryfall.com/cards/large/en/lea/279.jpg?1525123713
202,https://img.scryfall.com/cards/large/en/lea/71.jpg?1525123720
203,https://img.scryfall.com/cards/large/en/lea/72.jpg?1525123724
204,https://img.scryfall.com/cards/large/en/lea/167.jpg?1525123729
205,https://img.scryfall.com/cards/large/en/lea/73.jpg?1525123771
206,https://img.scryfall.com/cards/large/en/lea/74.jpg?1525123042
207,https://img.scryfall.com/cards/large/en/lea/75.jpg?1525123733
208,https://img.scryfall.com/cards/large/en/lea/32.jpg?1525123737
209,https://img.scryfall.com/cards/large/en/lea/168.jpg?1525123884
210,https://img.scryfall.com/cards/large/en/lea/122.jpg?1525123049
211,https://img.scryfall.com/cards/large/en/lea/169.jpg?1525123889
212,https://img.scryfall.com/cards/large/en/lea/33.jpg?1525123894
213,https://img.scryfall.com/cards/large/en/lea/213.jpg?1525123900
214,https://img.scryfall.com/cards/large/en/lea/214.jpg?1525123905
215,https://img.scryfall.com/cards/large/en/lea/34.jpg?1525123917
216,https://img.scryfall.com/cards/large/en/lea/35.jpg?1525123924
217,https://img.scryfall.com/cards/large/en/lea/36.jpg?1525123929
218,https://img.scryfall.com/cards/large/en/lea/171.jpg?1525123935
219,https://img.scryfall.com/cards/large/en/lea/170.jpg?1525123419
220,https://img.scryfall.com/cards/large/en/lea/268.jpg?1525123941
221,https://img.scryfall.com/cards/large/en/lea/123.jpg?1525123613
222,https://img.scryfall.com/cards/large/en/lea/124.jpg?1525123946
223,https://img.scryfall.com/cards/large/en/lea/37.jpg?1525123911
224,https://img.scryfall.com/cards/large/en/lea/280.jpg?1525123950
225,https://img.scryfall.com/cards/large/en/lea/38.jpg?1525123248
226,https://img.scryfall.com/cards/large/en/lea/125.jpg?1525123269
227,https://img.scryfall.com/cards/large/en/lea/126.jpg?1525123953
228,https://img.scryfall.com/cards/large/en/lea/281.jpg?1525123958
229,https://img.scryfall.com/cards/large/en/lea/215.jpg?1525123297
